username,rating,comment,date;;;;
M. Okta,5,👍👍👍🥇,2025-12-29 10:22:18;;;;
"Muhammad Makky elaqsha,1,""kebanyakan yapping, udah banyak yg download tetep aja iklanny bikin risih, admin nya yatim"",2025-12-29 10:16:42";;;;
"Deddy Hariyanto,1,""parah ini aplikasi gak jelas status pesanan sampai di mana, gak bisa dibatalin sebelum 1 jam. memangnya kalian suruh kami kelaparan 1 jam? sudah 20 menit gak jelas status pesanan ga bisa dibatalkan belajarlah ke GO-FOOD, disitu jelas langsung update real time dimana posisi pesanan. Saya jadi pesan 2 kali makanan yg sama karena status pesanan pertama tidak jelas"",2025-12-29 09:59:51";;;;
Hari Teguh Patria,5,ok,2025-12-29 09:59:48;;;;
"Arif Sulistiyono,5,""good quality with competitive price, but must be careful before check out.."",2025-12-29 09:48:21";;;;
"Johari Ari,1,""makin hari makin ga jelas, sumpah"",2025-12-29 09:39:26";;;;
Syifa,1,iklan lu di mna² cape gw,2025-12-29 09:34:16;;;;
"Enriko Mulawarman,5,""the best, the number one, saya mantan pengguna bukalapak, tokped, dan sekarang shopee, cuma kenapa limit kredit saya ga naik2, padahal di tokped sudah 20 jutaan"",2025-12-29 08:44:46";;;;
ninunana,1,kebanyakan iklan di aplikasi lain dan itu sangat menganggu!,2025-12-29 07:55:18;;;;
Wenny Yo,5,great! very helpful,2025-12-29 07:40:27;;;;
muhamad sulton01,1,maaf diuninstall soalnya gajelas tiba² masuk aplikasi. maksud saya kalau mau iklan ya iklan aja njirr gausah masuk sendiri ke aplikasi tiba². ngeselin bngt ngegangu,2025-12-29 07:37:49;;;;
Lina Lim,4,seharusnya lebih baik UI/UX,2025-12-29 06:07:25;;;;
arun karuniawan,5,toko online favorit. selama ini pesan tidak pernah kecewa 👍 memudahkan dalam pemilihan barang bahkan bisa paylater 👌,2025-12-29 05:33:01;;;;
Suci Rahmatia Mukti,5,shopee yg dulu bukanlah shopee yg skrng,2025-12-29 04:44:12;;;;
Heni Heni,1,driver shopeefood hard to find while its raining.,2025-12-29 00:26:48;;;;
Rizky fajar Ramadhan,1,ngapain masih ngiklan di web bajakan sih?! lg asik nonton anime / baca manga tiba2 di direct ke Shopee. gak malu sekelas Shopee masih ngiklan di web ilegal? sekelas ama judol. tokped gapernah ada tuh kek gtu.,2025-12-28 23:10:48;;;;
Jhonnynotsodeep,1,Balikin tiap kali buka app masuk ke homepage. Bukan ke shopee video!!,2025-12-28 22:55:51;;;;
Christian Yurianja,1,Tolong kasih fitur nonaktif shopee video di halaman home. Sangat mengganggu.,2025-12-28 22:50:48;;;;
Imam Fathurrahman,5,so far so good,2025-12-28 21:48:35;;;;
Isna Mardiah,5,bagus aja sih cm vouchernya suka gajelas,2025-12-28 21:34:28;;;;
